model,model_image_url
Valentine 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Valentine_2.tgs
Art Project 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Art_Project_1.tgs
Canis Major 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Canis_Major_1.tgs
Fresh 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Fresh_2.tgs
Extra Berry 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Extra_Berry_1.tgs
Chillberry 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Chillberry_2.tgs
Berryllium 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Berryllium_1.tgs
Cupid 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Cupid_1.tgs
Martian 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Martian_1.tgs
Sweet Kiss 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Sweet_Kiss_0.tgs
High Voltage 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/High_Voltage_1.tgs
Bumberries 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Bumberries_0.tgs
